species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,100,389,7,0,22.5,70,cc_cold,NA
A,100,363,7,0,22.5,70,cc_cold,NA
A,100,291,7,0,22.5,70,cc_cold,NA
A,100,346,7,0,22.5,70,cc_cold,NA
A,100,388,7,0,22.5,70,cc_cold,NA
A,100,353,7,0,22.5,70,cc_cold,NA
A,100,378,7,0,22.5,70,cc_cold,NA
A,100,383,7,0,22.5,70,cc_cold,NA
A,100,319,7,0,22.5,70,cc_cold,NA
A,100,353,7,0,22.5,70,cc_cold,NA
A,100,380,7,0,22.5,70,cc_cold,NA
A,100,383,7,0,22.5,70,cc_cold,NA
A,100,374,7,0,22.5,70,cc_cold,NA
A,100,328,7,0,22.5,70,cc_cold,NA
A,20,154,7,0,22.5,70,cc_cold,NA
A,20,166,7,0,22.5,70,cc_cold,NA
A,20,101,7,0,22.5,70,cc_cold,NA
A,20,127,7,0,22.5,70,cc_cold,NA
A,20,151,7,0,22.5,70,cc_cold,NA
A,20,164,7,0,22.5,70,cc_cold,NA
A,20,134,7,0,22.5,70,cc_cold,NA
A,20,163,7,0,22.5,70,cc_cold,NA
A,20,145,7,0,22.5,70,cc_cold,NA
A,20,220,7,0,22.5,70,cc_cold,NA
A,20,151,7,0,22.5,70,cc_cold,NA
A,20,153,7,0,22.5,70,cc_cold,NA
A,20,116,7,0,22.5,70,cc_cold,NA
A,20,114,7,0,22.5,70,cc_cold,NA
A,20,123,7,0,22.5,70,cc_cold,NA
A,20,178,7,0,22.5,70,cc_cold,NA
A,20,125,7,0,22.5,70,cc_cold,NA
A,20,164,7,0,22.5,70,cc_cold,NA
A,20,65,7,0,22.5,70,cc_cold,NA
A,20,192,7,0,22.5,70,cc_cold,NA
A,20,139,7,0,22.5,70,cc_cold,NA
A,20,160,7,0,22.5,70,cc_cold,NA
A,20,126,7,0,22.5,70,cc_cold,NA
A,20,131,7,0,22.5,70,cc_cold,NA
A,20,142,7,0,22.5,70,cc_cold,NA
A,100,337,7,0,22.5,70,cc_cold,NA
A,100,363,7,0,22.5,70,cc_cold,NA
A,100,308,7,0,22.5,70,cc_cold,NA
A,100,327,7,0,22.5,70,cc_cold,NA
A,100,349,7,0,22.5,70,cc_cold,NA
A,100,365,7,0,22.5,70,cc_cold,NA
A,100,325,7,0,22.5,70,cc_cold,NA
A,100,338,7,0,22.5,70,cc_cold,NA
A,100,348,7,0,22.5,70,cc_cold,NA
A,100,301,7,0,22.5,70,cc_cold,NA
A,200,385,7,0,22.5,70,cc_cold,NA
A,200,357,7,0,22.5,70,cc_cold,NA
A,200,395,7,0,22.5,70,cc_cold,NA
A,200,351,7,0,22.5,70,cc_cold,NA
A,200,367,7,0,22.5,70,cc_cold,NA
A,200,392,7,0,22.5,70,cc_cold,NA
A,200,393,7,0,22.5,70,cc_cold,NA
A,200,386,7,0,22.5,70,cc_cold,NA
A,200,398,7,0,22.5,70,cc_cold,NA
A,200,378,7,0,22.5,70,cc_cold,NA
A,200,288,7,1,22.5,70,cc_cold,NA
A,200,420,7,0,22.5,70,cc_cold,NA
A,200,362,7,0,22.5,70,cc_cold,NA
A,200,400,7,0,22.5,70,cc_cold,NA
A,200,380,7,0,22.5,70,cc_cold,NA
A,40,226,7,0,22.5,70,cc_cold,NA
A,40,212,7,0,22.5,70,cc_cold,NA
A,40,256,7,0,22.5,70,cc_cold,NA
A,40,180,7,0,22.5,70,cc_cold,NA
A,40,244,7,0,22.5,70,cc_cold,NA
A,30,189,7,0,22.5,70,cc_cold,NA
A,30,259,7,0,22.5,70,cc_cold,NA
A,30,174,7,0,22.5,70,cc_cold,NA
A,30,147,7,0,22.5,70,cc_cold,NA
A,30,176,7,0,22.5,70,cc_cold,NA
A,40,226,7,0,22.5,70,cc_cold,NA
A,40,212,7,0,22.5,70,cc_cold,NA
A,40,263,7,0,22.5,70,cc_cold,NA
A,40,227,7,0,22.5,70,cc_cold,NA
A,40,263,7,0,22.5,70,cc_cold,NA
A,30,136,7,0,22.5,70,cc_cold,NA
A,30,166,7,0,22.5,70,cc_cold,NA
A,30,164,7,0,22.5,70,cc_cold,NA
A,30,222,7,0,22.5,70,cc_cold,NA
A,30,187,7,0,22.5,70,cc_cold,NA
A,30,164,7,0,22.5,70,cc_cold,NA
A,30,182,7,0,22.5,70,cc_cold,NA
A,30,170,7,0,22.5,70,cc_cold,NA
A,30,222,7,0,22.5,70,cc_cold,NA
A,30,150,7,0,22.5,70,cc_cold,NA
A,200,397,7,0,22.5,70,cc_cold,NA
A,200,388,7,0,22.5,70,cc_cold,NA
A,200,388,7,0,22.5,70,cc_cold,NA
A,200,388,7,0,22.5,70,cc_cold,NA
A,200,381,7,0,22.5,70,cc_cold,NA
A,500,70,7,1,22.5,70,cc_cold,NA
A,500,375,7,0,22.5,70,cc_cold,NA
A,500,435,7,0,22.5,70,cc_cold,NA
A,500,416,7,0,22.5,70,cc_cold,NA
A,500,490,7,0,22.5,70,cc_cold,NA
A,500,421,7,0,22.5,70,cc_cold,NA
A,500,439,7,0,22.5,70,cc_cold,NA
A,500,421,7,0,22.5,70,cc_cold,NA
A,500,335,7,0,22.5,70,cc_cold,NA
A,500,423,7,0,22.5,70,cc_cold,NA
A,500,142,7,1,22.5,70,cc_cold,NA
A,500,478,7,0,22.5,70,cc_cold,NA
A,500,427,7,0,22.5,70,cc_cold,NA
A,500,272,7,0,22.5,70,cc_cold,NA
A,500,393,7,0,22.5,70,cc_cold,NA
A,30,152,7,0,22.5,70,cc_cold,NA
A,30,191,7,0,22.5,70,cc_cold,NA
A,30,247,7,0,22.5,70,cc_cold,NA
A,30,229,7,0,22.5,70,cc_cold,NA
A,30,251,7,0,22.5,70,cc_cold,NA
A,1000,572,7,1,22.5,70,cc_cold,NA
A,1000,499,7,0,22.5,70,cc_cold,NA
A,1000,410,7,0,22.5,70,cc_cold,NA
A,1000,436,7,0,22.5,70,cc_cold,NA
A,1000,242,7,0,22.5,70,cc_cold,NA
A,1000,493,7,0,22.5,70,cc_cold,NA
A,1000,468,7,0,22.5,70,cc_cold,NA
A,1000,426,7,0,22.5,70,cc_cold,NA
A,1000,432,7,0,22.5,70,cc_cold,NA
A,1000,460,7,0,22.5,70,cc_cold,NA
A,1000,486,7,0,22.5,70,cc_cold,NA
A,1000,174,7,1,22.5,70,cc_cold,NA
A,1000,478,7,0,22.5,70,cc_cold,NA
A,1000,251,7,1,22.5,70,cc_cold,NA
